date,load,temperature
2015-01-03 08:15:00,47900.0,2.3364258
2015-01-03 08:30:00,48521.0,2.3364258
2015-01-03 08:45:00,49589.0,2.3364258
2015-01-03 09:00:00,50657.0,2.310089
2015-01-03 09:15:00,51172.0,2.310089
2015-01-03 09:30:00,52362.0,2.310089
2015-01-03 09:45:00,53126.0,2.310089
2015-01-03 10:00:00,53794.0,3.0348816
2015-01-03 10:15:00,54339.0,3.0348816
2015-01-03 10:30:00,54682.0,3.0348816
2015-01-03 10:45:00,55091.0,3.0348816
2015-01-03 11:00:00,55746.0,3.2740784
2015-01-03 11:15:00,56276.0,3.2740784
2015-01-03 11:30:00,56876.0,3.2740784
2015-01-03 11:45:00,57223.0,3.2740784
2015-01-03 12:00:00,56066.0,3.4168396
2015-01-03 12:15:00,56045.0,3.4168396
2015-01-03 12:30:00,57098.0,3.4168396
2015-01-03 12:45:00,56967.0,3.4168396
2015-01-03 13:00:00,56982.0,3.383728
2015-01-03 13:15:00,56571.0,3.383728
2015-01-03 13:30:00,56466.0,3.383728
2015-01-03 13:45:00,55946.0,3.383728
2015-01-03 14:00:00,55777.0,3.2963867
2015-01-03 14:15:00,55585.0,3.2963867
2015-01-03 14:30:00,55513.0,3.2963867
2015-01-03 14:45:00,55239.0,3.2963867
2015-01-03 15:00:00,55276.0,3.2562256
2015-01-03 15:15:00,55176.0,3.2562256
2015-01-03 15:30:00,55390.0,3.2562256
2015-01-03 15:45:00,55510.0,3.2562256
2015-01-03 16:00:00,55926.0,3.1966553
2015-01-03 16:15:00,57194.0,3.1966553
2015-01-03 16:30:00,58068.0,3.1966553
2015-01-03 16:45:00,59103.0,3.1966553
2015-01-03 17:00:00,60207.0,3.2208862
2015-01-03 17:15:00,60458.0,3.2208862
2015-01-03 17:30:00,60954.0,3.2208862
2015-01-03 17:45:00,60980.0,3.2208862
2015-01-03 18:00:00,61298.0,3.2698364
2015-01-03 18:15:00,61162.0,3.2698364
2015-01-03 18:30:00,60842.0,3.2698364
2015-01-03 18:45:00,60413.0,3.2698364
2015-01-03 19:00:00,59961.0,3.3606262
2015-01-03 19:15:00,60238.0,3.3606262
2015-01-03 19:30:00,59490.0,3.3606262
2015-01-03 19:45:00,58835.0,3.3606262
2015-01-03 20:00:00,57497.0,3.4057007
2015-01-03 20:15:00,56049.0,3.4057007
2015-01-03 20:30:00,54672.0,3.4057007
2015-01-03 20:45:00,54145.0,3.4057007
2015-01-03 21:00:00,53744.0,3.3576965
2015-01-03 21:15:00,53294.0,3.3576965
2015-01-03 21:30:00,52861.0,3.3576965
2015-01-03 21:45:00,52827.0,3.3576965
2015-01-03 22:00:00,53595.0,3.3174744
2015-01-03 22:15:00,53305.0,3.3174744
2015-01-03 22:30:00,52572.0,3.3174744
2015-01-03 22:45:00,51817.0,3.3174744
2015-01-03 23:00:00,50999.0,3.1383972
2015-01-03 23:15:00,50376.0,3.1383972
2015-01-03 23:30:00,49682.0,3.1383972
2015-01-03 23:45:00,48939.0,3.1383972
2015-01-04 00:00:00,47737.0,3.0529785
2015-01-04 00:15:00,47064.0,3.0529785
2015-01-04 00:30:00,46491.0,3.0529785
2015-01-04 00:45:00,45807.0,3.0529785
2015-01-04 01:00:00,43126.0,2.929657
2015-01-04 01:15:00,42765.0,2.929657
2015-01-04 01:30:00,42313.0,2.929657
2015-01-04 01:45:00,42013.0,2.929657
2015-01-04 02:00:00,41498.0,2.8136292
2015-01-04 02:15:00,41215.0,2.8136292
2015-01-04 02:30:00,40996.0,2.8136292
2015-01-04 02:45:00,40841.0,2.8136292
2015-01-04 03:00:00,40695.0,2.6589966
2015-01-04 03:15:00,40512.0,2.6589966
2015-01-04 03:30:00,40551.0,2.6589966
2015-01-04 03:45:00,40555.0,2.6589966
2015-01-04 04:00:00,40705.0,2.4704285
2015-01-04 04:15:00,40569.0,2.4704285
2015-01-04 04:30:00,40674.0,2.4704285
2015-01-04 04:45:00,40745.0,2.4704285
2015-01-04 05:00:00,40752.0,2.2808228
2015-01-04 05:15:00,40381.0,2.2808228
2015-01-04 05:30:00,40069.0,2.2808228
2015-01-04 05:45:00,39632.0,2.2808228
